    data.addRow([0.999987045382, 1.00440814596])
    data.addRow([133.820998538, -2.66493733241])
    data.addRow([134.82032225, -2.6281814955])
    data.addRow([135.819504525, -2.58776282445])
    data.addRow([136.818532885, -2.54370336018])
    data.addRow([137.817395321, -2.49602997325])
    data.addRow([138.816080356, -2.44477436419])
    data.addRow([139.814577115, -2.38997305762])
    data.addRow([140.812875385, -2.33166739035])
    data.addRow([141.810965679, -2.2699034933])
    data.addRow([142.808839295, -2.2047322675])
    data.addRow([143.806488375, -2.1362093539])
    data.addRow([144.803905952, -2.06439509735])
    data.addRow([145.801086003, -1.98935450453])
    data.addRow([146.798023496, -1.91115719605])
    data.addRow([147.794714426, -1.82987735275])
    data.addRow([148.791155855, -1.74559365616])
    data.addRow([149.787345943, -1.65838922335])
    data.addRow([150.783283974, -1.56835153604])
    data.addRow([151.778970378, -1.47557236424])
    data.addRow([152.774406746, -1.38014768436])
    data.addRow([153.769595842, -1.28217759189])
    data.addRow([154.764541607, -1.1817662087])
    data.addRow([155.759249154, -1.07902158519])
    data.addRow([156.753724768, -0.974055597057])
    data.addRow([157.747975886, -0.866983837106])
    data.addRow([158.74201108, -0.757925501885])
    data.addRow([159.735840031, -0.647003273408])
    data.addRow([160.7294735, -0.534343195948])
    data.addRow([161.722923285, -0.420074547994])
    data.addRow([162.716202181, -0.304329709456])
    data.addRow([163.709323928, -0.18724402418])
    data.addRow([164.70230316, -0.0689556578437])
    data.addRow([165.695214804, 0.0498991526008])
    data.addRow([166.688007349, 0.169744735392])
    data.addRow([167.680688406, 0.290510290753])
    data.addRow([168.673276414, 0.412038250984])
    data.addRow([169.665791806, 0.534157856381])
    data.addRow([170.658255378, 0.656697884374])
    data.addRow([171.650687984, 0.779488447615])
    data.addRow([172.643110451, 0.90236093042])
    data.addRow([173.635543527, 1.02514769189])
    data.addRow([174.628007828, 1.14768181251])
    data.addRow([175.620523773, 1.26979691873])
    data.addRow([176.613111512, 1.39132707878])
    data.addRow([177.605790851, 1.51210675806])
    data.addRow([178.598646179, 1.63143068472])
    data.addRow([179.591635716, 1.74963248315])
    data.addRow([180.584772354, 1.86659174961])
    data.addRow([181.578073139, 1.98214850831])
    data.addRow([182.571554726, 2.09614020452])
    data.addRow([183.565232902, 2.20840509885])
    data.addRow([184.559122465, 2.31878268583])
    data.addRow([185.553237134, 2.42711386173])
    data.addRow([186.547589473, 2.53324108232])
    data.addRow([187.542190808, 2.6370085295])
    data.addRow([188.537051156, 2.73826228704])
    data.addRow([189.532179152, 2.83685052357])
    data.addRow([190.527581985, 2.93262368141])
    data.addRow([191.523265341, 3.02543466996])
    data.addRow([192.519233349, 3.11513906234])
    data.addRow([193.515488535, 3.20159529432])
    data.addRow([194.512031783, 3.28466486453])
    data.addRow([195.508862304, 3.36421253513])
    data.addRow([196.505977615, 3.44010653216])
    data.addRow([197.503373519, 3.5122187447])
    data.addRow([198.501044106, 3.58042492242])
    data.addRow([199.498981748, 3.64460487065])
